data;

param Departure_times :=
v1	510
v2	630
v3	780
v4	900
v5	1065
v6	1190;

param Arrive_Times :=
v1	585
v2	720
v3	885
v4	965
v5	1140
v6	1260;

param Flights_Duration :=
v1	75
v2	90
v3	105
v4	65
v5	75
v6	70;

param Break_Times : v1 v2 v3 v4 v5 v6 :=
v1 999999 45	 999999	315    999999 605
v2 999999 999999 60	999999 345    999999
v3 999999 999999 999999 15     999999 305
v4 999999 999999 999999 999999 100    999999
v5 999999 999999 999999 999999 999999 50
v6 999999 999999 999999 999999 999999 999999;
